"Customer shall make weekly payments via wire transfer on the following Thursday, for the sales of","Customer shall not make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior."
Customer will be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.,Customer may be responsible for restocking charges or freight cost incurred in connection with Dead Inventory.
"Should Customer request the use of a ""loaner"" truck, USF will make reasonable efforts to accommodate supplying a truck for special occasions.","Should Customer request the use of a ""loaner"" truck, USF will not make reasonable efforts to accommodate supplying a truck for special occasions."
Customer will notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.,Customer may notify USF at least [***] days in advance of special promotions that may cause unusual or excessive demand on inventory.
Customer will be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.,Customer will not be required to complete the New Product/Special Order Notification and Agreement attached hereto as ATTACHMENT B for all Proprietary Products.
USF may assign any accounts receivable due from Customer hereunder to any third party.,USF may not assign any accounts receivable due from Customer hereunder to any third party.
"Customer shall make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior.","Customer shall not make weekly payments via wire transfer on the following Thursday, for the sales of the Applicable Sales Period that ended approximately oneweek prior."
The price of product to Customer shall equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.,The price of product to Customer may equal USF's invoice cost (as hereinafter defined) plus the agreed upon fee per case on cost as outlined below.
USF agrees regular deliveries will not be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.,USF agrees regular deliveries may be made between the hours of 11:00 am and 2:00 pm with the exception of recoveries and offcycles.
Customer shall make arrangements through USF order department for any goods to be returned to USF.,Customer shall not make arrangements through USF order department for any goods to be returned to USF.
"Customer shall be primarily responsible for all financial obligations hereunder, irrespective of the entity to which Customer may direct that products be delivered.","Customer must not be primarily responsible for all financial obligations hereunder, irrespective of the entity to which Customer may direct that products be delivered."
Sponsor shall use best efforts to respond in writing to such Change Order promptly.,Sponsor must not use best efforts to respond in writing to such Change Order promptly.
"CBSI will appoint a CBSI representative (the ""Program Manager"") to be responsible for the completion of the Program by CBSI.","CBSI may appoint a CBSI representative (the ""Program Manager"") to be responsible for the completion of the Program by CBSI."
CBSI will retain the originals in its archives.,CBSI may retain the originals in its archives.
AorTech shall use only approved suppliers listed on AorTech's approved supplier list when purchasing such material.,AorTech may use unapproved suppliers listed on AorTech's unapproved supplier list when purchasing such material.
"AorTech will return materials to suppliers for credit, less restocking fees, when appropriate.","AorTech may return materials to suppliers for credit, less restocking fees, when appropriate."
Contractor may provide repair and maintenance service upon notification of need for such service by either the Department directly or its agents.,Contractor may provide repair and maintenance service upon notification of need for such service by either the Department directly or its agents.
9.5 The Company shall provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.,9.5 The Company shall not provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.
The Company will make available to the Customer 48 x 40 fourway hardwood pallets in quantities sufficient to store and ship all Finished Case Goods at a cost of $___ each.,The Company may make available to the Customer 48 x 40 fourway hardwood pallets in quantities sufficient to store and ship all Finished Case Goods at a cost of $___ each.
The Company may terminate the contract without cause and at no liability to the Company.,The Company shall not terminate the contract without cause and at no liability to the Company.
"2 4.3 The Company shall supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer.","2 4.3 The Company shall not supply the Ingredients and Packaging Materials set forth in Schedule ""A"" or as mutually agreed to by the Company and the Customer."
8.2 The Customer shall be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.,8.2 The Customer shall not be allowed to return 48 x 40 fourway hardwood pallets and to receive credit for those returned as long as the Company is satisfied with the condition of such pallet.
"Upon receipt of debt owed, the Company will then release all Ingredients and Packaging Materials to the Customer.","Upon receipt of debt owed, the Company shall not then release all Ingredients and Packaging Materials to the Customer."
"Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.","Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction."
Ligand shall be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.,Ligand may be permitted to send a representative to inventory API at Cardinal Health upon reasonable prior notice and not more than once in any 12month period.
Ligand shall qualify at least one (1) carrier to ship the Product to Cardinal Health.,Ligand may qualify at least one (1) carrier to ship the Product to Cardinal Health.
Cardinal Health shall segregate and store all Product until acceptance as set forth in Section 5.1 above.,Cardinal Health shall not segregate and store all Product until acceptance as set forth in Section 5.1 above.
"Ligand shall pay to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product.","Ligand shall not to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product."
"Ligand shall solely control the implementation of any such recall, field alert, withdrawal or field correction.","Ligand shall not solely control the implementation of any such recall, field alert, withdrawal or field correction."
Ligand shall submit each Purchase Order to Cardinal Health at least one hundred and twenty (120) days in advance of the earliest Delivery Date requested in the Purchase Order.,Ligand may submit each Purchase Order to Cardinal Health at least one hundred and twenty (120) days in advance of the earliest Delivery Date requested in the Purchase Order.
"Ligand shall provide or approve, prior to the procurement of applicable components, all artwork, advertising and packaging information necessary to Manufacture or Package the Product.","Ligand shall not provide or approve, prior to the procurement of applicable components, all artwork, advertising and packaging information necessary to Manufacture or Package the Product."
"Notwithstanding the foregoing, Ligand shall remain responsible for the Firm Commitment portion of the Rolling Forecast.","Notwithstanding the foregoing, Ligand shall not remain responsible for the Firm Commitment portion of the Rolling Forecast."
"Cardinal Health shall timely fill each Purchase Order, subject to the terms and conditions of this Agreement.","Cardinal Health may timely fill each Purchase Order, subject to the terms and conditions of this Agreement."
Supplier will promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.,Supplier will not promptly notify Buyer in writing should there be any failure to adhere to the representations and warranties as stated herein.
Supplier will only deliver the Products specified in a WA.,Supplier will not only deliver the Products specified in a WA.
"Supplier will not make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably.","Supplier will make any changes to the form, fit or function of the Products without Buyer's prior written consent, such consent not to be withheld unreasonably."
Supplier will commence such performance within five (5) calendar days of Buyer's written notice to Supplier of an Epidemic Defect Rate.,Supplier may commence such performance within five (5) calendar days of Buyer's written notice to Supplier of an Epidemic Defect Rate.
Buyer may EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.,Buyer shall not EXHIBIT 10.24 GOODS AGREEMENT cancel or reschedule the delivery date or change the delivery point as specified in the relevant SOW.
Supplier shall process WAs issued by Buyer and shall accept all WAs in Accordance with this Goods Agreement and the applicable SOW.,Supplier shall not WAs issued by Buyer and shall not accept all WAs in Accordance with this Goods Agreement and the applicable SOW.
Buyer will use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.,Buyer may use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.
(v) Hershey will invoice Topps for the Packaged Products produced by Hershey at the time of shipment of such Packaged Products to Topps.,(v) Hershey will not invoice Topps for the Packaged Products produced by Hershey at the time of shipment of such Packaged Products to Topps.
Hershey will cooperate in no shipping procedures.,Hershey will cooperate in all shipping procedures.
Hershey may give Topps notice of any and all pricing changes promptly once Hershey learns of such changes and copies of the notices or invoices received from its vendor shall be forwarded along.,Hershey shall give Topps notice of all pricing changes promptly after Hershey learns of such changes along with copies of the notices or invoices received from its vendor.
"In the event that Topps purchases less than such amount, the prices should be adjusted to reflect any increases in cost to Hershey.","In the event that Topps purchases less than such amount, the prices shall be adjusted to reflect any increased cost to Hershey."
"In addition, Cubist will be consulted concerning any matters that could cause a delay in completion of the Facility.","In addition, Cubist may not be consulted concerning any matters that could cause a delay in completion of the Facility."
Cubist may also terminate this Agreement in the event that the FDA refuses to approve the Product.,Cubist may not terminate terminate this Agreement even in the event that the FDA refuses to approve the Product.
(b) Cubist shall not be required to pay DSM for any Product which has been property rejected in accordance with clause 3.11 sub (a).,(b) Cubist may be required to pay DSM for any Product which has been properly rejected in accordance with clause 3.11 sub (a).
Cubist shall at all times upon reasonable notice and during normal business hours have the right to inspect the Facility to ascertain compliance with GMPs.,"Cubist may not be, at all times and upon reasonable notice and normal business hours, denied an inspection of the Facility to ascertain compliance with GMPs."
"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not provide Purchaser with suitable evidence establishing that a cost increase did occur."
"At the end of the term of this Agreement, 7UP/RC may use the Equipment to produce Products as well as other energy drinks.","At the end of the term of this Agreement, 7UP/RC shall not use the Equipment to produce Products as well as other energy drinks."
"At any time during the term of this Agreement, 7UP/RC shall not pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications.","At any time during the term of this Agreement, 7UP/RC may pass through and otherwise charge Purchaser for any cost increases for raw materials, labor or as a result of changes in specifications."
"Purchaser shall not purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense.","Purchaser shall purchase the equipment specified in Exhibit B (the ""Equipment') at its sole cost and expense."
"In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall be responsible for all expenses of the recall.","In the event that such recall results from any cause or event arising from defective manufacture of the Product by 7UP/RC, 7UP/RC shall not be responsible for all expenses of the recall."
"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC may charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price."
Purchaser shall also be responsible for all property taxes on the equipment.,Purchaser may also be responsible for all property taxes on the equipment.
"7UP/RC shall charge Purchaser and Purchaser shall pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price.","7UP/RC shall not charge Purchaser and Purchaser shall not pay for Product as specified in Exhibit A, unless 7UP/RC and Purchaser agree in writing to a different price."
7UP/RC shall perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.,7UP/RC shall not perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.
"If requested by Purchaser, 7UP/RC shall provide Purchaser with suitable evidence establishing that a cost increase did occur.","If requested by Purchaser, 7UP/RC shall not provide Purchaser with suitable evidence establishing that a cost increase did occur."
Purchaser shall pay 7UP/RC a deposit equal to 7UP/RC standard rate which shall be refunded to Purchaser when the shells are returned.,Purchaser may pay 7UP/RC a deposit equal to 7UP/RC standard rate which may be refunded to Purchaser when the shells are returned.
Purchaser shall be responsible for the actual cost of the Equipment.,Purchaser may be responsible for the actual cost of the Equipment.
Purchaser shall also be financially responsible for all taxes and freight in connection with the New Equipment.,Purchaser may also be financially responsible for all taxes and freight in connection with the New Equipment.
Purchaser shall assume title and risk of loss for Product ordered upon delivery of Product to transport.,Purchaser shall not assume title and risk of loss for Product ordered upon delivery of Product to transport.
"Notwithstanding the foregoing, Cinram will have no right to use the Content Software for or on behalf of any Third Party.","Notwithstanding the foregoing, Cinram may use the Content Software for or on behalf of any Third Party."
CoPacker shall reimburse WWI in full for the quantity of the Products rejected and returned.,CoPacker may reimburse WWI in full for the quantity of the Products rejected and returned.
CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.,CoPacker shall not assume all costs of transportation and handling both ways for such rejected Products.
CoPacker shall deliver all the Products that WWI purchases under this Agreement to WWI F.O.B.,CoPacker may deliver all the Products that WWI purchases under this Agreement to WWI F.O.B.
"CoPacker may not use any of such trademarks or trade names, except as WWI authorizes in writing.","CoPacker may use any of such trademarks or trade names, except as WWI authorizes in writing."
Payments by WWI for any quantity of the Products shall not constitute approval or acceptance of such Products.,Payments by WWI for any quantity of the Products shall constitute approval or acceptance of such Products.
"Upon request of WWI, CoPacker shall certify in writing to WWI that all such trademarks, trade names, and identifying marks have been removed from any rejected Products.","Upon request of WWI, CoPacker shall not certify in writing to WWI that all such trademarks, trade names, and identifying marks have been removed from any rejected Products."
CoPacker shall furnish to WWI without charge samples of the Products that WWI reasonably requests for quality control testing and evaluation.,CoPacker may furnish to WWI without charge samples of the Products that WWI reasonably requests for quality control testing and evaluation.
Copacker shall be the exclusive supplier of the Products within the continental United States of America during the term of this Agreement.,Copacker may be the exclusive supplier of the Products within the continental United States of America during the term of this Agreement.
