id,norm_pair,class
153456,Any inconsistencies between the terms and conditions of the WWI purchase order form and the provisions of the CoPack Manual shall be resolved in favor of the provisions of the CoPack Manual.,"The term of this Agreement shall commence as of the date of this Agreement and shall continue in full force and effect until December 31, 2004 (the ""Term"").",0
75669,9.5 The Company shall provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.,9.5 The Company shall not provide to the Customer written notification not less than thirty (30) days of any changes to the fees referred to herein due to direct increase/decrease costs by Company.,1
5656,"The USF website is intended to provide Customer with real time visibility to Customer's standard Order Guide, the ability to order online, information on outstanding orders and historical information on past purchases.",USF reserves the right to charge interest on all monies due beyond the agreed upon payment terms.,0
139715,Purchaser shall assume title and risk of loss for Product ordered upon delivery of Product to transport.,Purchaser shall not assume title and risk of loss for Product ordered upon delivery of Product to transport.,1
77957,"Ligand shall pay to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product.","Ligand shall not to Cardinal Health the unit pricing set forth on EXHIBIT D (""Unit Pricing"") for all Product.",1
27948,Overtime shall be defined as the number of hours worked beyond the normal work week.,c. AorTech agrees that it will not subcontract the manufacturing of Novoste B.V.,0
99083,Supplier shall process WAs issued by Buyer and shall accept all WAs in Accordance with this Goods Agreement and the applicable SOW.,Supplier shall not WAs issued by Buyer and shall not accept all WAs in Accordance with this Goods Agreement and the applicable SOW.,1
46718,Chiron shall be responsible for all costs and expenses incurred by Cubist in connection with the rendering of such cooperation and assistance.,Cubist shall provide Chiron with an annual report of all data Cubist has obtained from such stability studies during the year preceding the report.,0
123045,"In addition, Cubist will be consulted concerning any matters that could cause a delay in completion of the Facility.","In addition, Cubist may not be consulted concerning any matters that could cause a delay in completion of the Facility.",1
169193,"""AGREEMENT"" shall have the meaning set forth in the preamble.","IN NO EVENT SHALL LESSOR BE LIABLE FOR ANY LOSS OR DAMAGE CLAIMED TO HAVE RESULTED FROM THE USE, OPERATION OR PERFORMANCE OF LESSOR'S PRODUCTS REGARDLESS OF THE FORM OF ACTION EXCEPT FOR LOSS OR DAMAGE CAUSED BY THE GROSS NEGLIGENCE OF LESSOR.",0
152689,CoPacker shall assume all costs of transportation and handling both ways for such rejected Products.,CoPacker shall not assume all costs of transportation and handling both ways for such rejected Products.,1
168882,2.7 AMFS agrees that no fees shall be charged for the license granted hereunder.,2.7 AMFS agrees that no fees shall not be charged for the license granted hereunder.,1
11337,"CBSI will appoint a CBSI representative (the ""Program Manager"") to be responsible for the completion of the Program by CBSI.","CBSI may appoint a CBSI representative (the ""Program Manager"") to be responsible for the completion of the Program by CBSI.",1
196000,"(a) Nephros may reject any Cartridge that does not meet the Specifications or otherwise comply with this agreement (any such Cartridge, a ""Nonconforming Cartridge"").",Each party agrees to perform under this agreement solely as an independent contractor.,0
159031,JMI shall have the right to participate in such defense at its cost.,JMI may have the right to participate in such defense at its cost.,1
78337,"1.4 ""Applicable Laws"" means all laws, ordinances, rules and regulations within the Territory applicable to the Manufacturing and Packaging of the Product or any aspect thereof and the obligations of Cardinal Health or Ligand, as the context requires under this Agreement, including, without limitation, (i) all applicable federal, state and local laws and regulations of each Territory; (ii) the U.S. Federal Food, Drug and Cosmetic Act, and (iii) the current Good Manufacturing Practices promulgated by the Regulatory Authorities, as amended from time to time (""cGMPs"").","Either party may terminate this Agreement effective upon sixty (60) days prior written notice to the other party, if the other party commits a material breach of this Agreement and fails to cure such breach by the end of such sixty (60) day period.",0
22761,Records for this stage of the process will be maintained using DRAFT cGMP documents (batch records and formulation records).,CBSI will use its best judgement to establish a manufacturing strategy in consultation with EntreMed.,0
63278,Cubist will direct each Cubist Supplier to permit the Carrier to pickup such preshipment samples at the facility.,"The Carrier shall transport such preshipment samples on behalf of, and at the direction of, Chiron to the destination designated by Chiron.",0
202870,"If any Governmental Authority withdraws its approval to sell the Cartridge in any country or issues a directive or request that some or all Cartridges be recalled for safety reasons relating to the Cartridge or Nephros reasonably determines that some or all Cartridges should be recalled, and if that recall is due to any reason other than Medica having manufactured Cartridge that fails to conform to the Specifications or that was not manufactured in accordance with any applicable Laws, Nephros shall pay all costs, including Medica's reasonable outofpocket expenses, associated with that recall.","(a) This agreement may be terminated as follows: (1) by Nephros upon 10 Business Days' written notice to Medica if any representation made in this agreement by Medica was materially inaccurate when made and either (1) that inaccuracy has contributed to Nephros's incurring Indemnifiable Losses or (2) Medica fails to take action to render the inaccurate representation accurate as if it were made on the day Nephros would otherwise be entitled to terminate this agreement under this Section 13.2(a)(l); (2) by Medica upon 10 Business Days' written notice to Nephros if any representation made in this agreement by Nephros was materially inaccurate when made and either (1) that inaccuracy has contributed to either or both Medica Entities' incurring Indemnifiable Losses or (2) Nephros fails to take action to render the inaccurate representation accurate as if it were made on the day Medica would otherwise be entitled to terminate this agreement pursuant to this Section 13.2(a)(2); (3) by Nephros immediately if Medica has breached any of its material obligations under this agreement and, if it is curable, has not cured that breach prior to expiration of a 45BusinessDay period from the date of breach; (4) by Medica immediately if Nephros has breached any of its material obligations under this agreement and, if it is curable, has not cured that breach prior to expiration of a 45BusinessDay period from the date of breach; (5) by Nephros immediately if there occurs an Event of Insolvency with respect to Medica; (6) by Medica immediately if there occurs an Event of Insolvency with respect to Nephros; (7) by Nephros, if for any reason other than an Event of Force Majeure Medica fails to deliver within 40 days after the required delivery date, or on more than two occasions in any 90day period fails to deliver within 20 Business Days after the required delivery day, any shipment of Cartridge it is required to deliver pursuant to Section 3.2, Section 4.2, or Section 9.3; (8) by Medica or Nephros on 15 Business Days' prior written notice to Nephros or Medica, respectively, if due to an Event of Force Majeure (A) Nephros or 17 (B) Medica or both of them, respectively, is prevented from performing an obligation under this agreement for more than 60 days, unless prior to the end of the 15BusinessDay period the Event of Force Majeure ceases to exist and the party prevented from performing resumes performance under this agreement and notifies the party giving the notice of termination; (b) The parties may terminate this agreement at any time by written agreement.",0
30217,Contractor may provide repair and maintenance service upon notification of need for such service by either the Department directly or its agents.,Contractor may provide repair and maintenance service upon notification of need for such service by either the Department directly or its agents.,1
139710,7UP/RC shall perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.,7UP/RC shall not perform routine maintenance on the Equipment and shall be financially responsible for minor repairs.,1
79480,"1.14 ""Delivery Date"" shall mean the date on which Cardinal Health shall tender the relevant Batch(es) to Ligand.",Each party intends and commits to cooperate to satisfy all Applicable Laws with respect to Manufacturing and Packaging under this Agreement.,0
99084,Buyer will use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.,Buyer may use commercially reasonable efforts to issue a [*] rolling forecast for quantities of Products that may be required.,1
187279,The arbitration shall be conducted in the English language.,2.7 AMFS agrees that no fees shall be charged for the license granted hereunder.,0
123048,Cubist shall at all times upon reasonable notice and during normal business hours have the right to inspect the Facility to ascertain compliance with GMPs.,"Cubist may not be, at all times and upon reasonable notice and normal business hours, denied an inspection of the Facility to ascertain compliance with GMPs.",1
102743,"In the event that Topps purchases less than such amount, the prices should be adjusted to reflect any increases in cost to Hershey.","In the event that Topps purchases less than such amount, the prices shall be adjusted to reflect any increased cost to Hershey.",1
159032,PAYMENT 10.1 Celgene will remit payment in U.S. dollars within thirty (30) days from the date of the invoice.,PAYMENT 10.1 Celgene will not remit payment in U.S. dollars within thirty (30) days from the date of the invoice.,1
47791,"Chiron shall have the right to review and comment, via the JCT, on the Manufacturing Plan and any and all revisions and updates thereto, and Cubist shall, in good faith, consider all comments made by Chiron.","Cubist shall, and shall direct the Cubist Suppliers to (a) be responsible for (i) maintaining safety procedures for the handling and manufacture of any and all API, Filled Products and raw materials used in the manufacture thereof and (ii) the generation, treatment, storage and disposal of wastes relating thereto, all of which shall comply with all federal, state and local environmental and occupational safety and health requirements, and (b) permit Chiron to audit and comment on such procedures.",0
20774,"USE OF NAMES Neither party shall use the name of the other party or the names of the employees of the other party in any advertising or sales promotional material or in any publication without prior 07/07/99 Page 9 of 11 10 [ &quot;...&quot; indicates material has been omitted pursuant to a Confidential Treatment Request, which the Company has filed separately with the Securities and Exchange Commission] EntreMedCovance Agreement written permission of such party, except Sponsor may, as required by law or regulatory requirements, disclose that CBSI has performed the Program.",The Quality Assurance Group will not perform a formal review of documentation.,0
186869,C. EXONERATION FOR ENTERING PREMISES.,"2.4 Nothing contained in this Agreement shall constitute, or be construed to be, a limitation or restriction on either Foamtec or AMFS to use existing technologies for future businesses.",0
152696,"CoPacker may restrict access by WWI's representatives to only those areas where the Products and ingredients and materials for the Products are processed, tested, or stored.","CoPacker may not restrict access by WWI's representatives to only those areas where the Products and ingredients and materials for the Products are processed, tested, or stored.",1
147836,"If actual order volumes vary by more than 50% from forecasted levels, or if MP3.com has not advised Cinram of any material business issues of which it is aware at the time of forecast which affect the performance by Cinram of its obligations hereunder, Cinram shall be deemed to comply with Section 6.2 with respect to Service Levels directly or indirectly affected by such variance or such business issues if it uses reasonable commercial efforts to achieve such Service Levels.",Cinram will maintain actual perpetual inventory records for all Fulfillment Products in its possession.,0
